197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
197.218.177.069,172.016.114.168,06/17/1998-11:35
202.072.001.077,172.016.112.050,06/17/1998-11:35
197.182.091.233,172.016.114.168,06/17/1998-11:35
197.182.091.233,172.016.114.207,06/17/1998-11:35
197.182.091.233,172.016.112.194,06/17/1998-11:35
197.182.091.233,172.016.112.050,06/17/1998-11:35
172.016.114.148,207.121.186.207,06/17/1998-11:35
197.182.091.233,172.016.113.204,06/17/1998-11:35
197.182.091.233,172.016.112.149,06/17/1998-11:35
172.016.112.149,195.115.218.108,06/17/1998-11:35
172.016.112.207,196.227.033.189,06/17/1998-11:35
172.016.112.207,195.115.218.108,06/17/1998-11:35
172.016.116.044,207.126.101.247,06/17/1998-11:35
172.016.114.148,207.121.186.207,06/17/1998-11:35
172.016.112.149,204.071.200.069,06/17/1998-11:36
202.072.001.077,172.016.112.050,06/17/1998-11:36
172.016.116.044,195.067.049.016,06/17/1998-11:36
172.016.116.044,195.067.049.016,06/17/1998-11:36
172.016.116.044,129.048.028.016,06/17/1998-11:36
172.016.116.044,204.071.200.244,06/17/1998-11:36
172.016.113.204,209.086.115.204,06/17/1998-11:36
172.016.116.044,204.071.200.244,06/17/1998-11:36
172.016.116.044,187.187.187.187,06/17/1998-11:36
172.016.112.149,207.046.148.250,06/17/1998-11:36
172.016.116.044,195.067.049.016,06/17/1998-11:37
202.072.001.077,172.016.112.050,06/17/1998-11:37
172.016.114.148,207.046.130.150,06/17/1998-11:37
172.016.116.044,204.071.200.244,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
172.016.114.168,194.027.251.021,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
172.016.114.168,194.027.251.021,06/17/1998-11:37
172.016.114.148,194.027.251.021,06/17/1998-11:37
197.218.177.069,172.016.114.050,06/17/1998-11:37
172.016.114.148,195.115.218.108,06/17/1998-11:37
172.016.112.207,195.115.218.108,06/17/1998-11:37
172.016.112.149,195.115.218.108,06/17/1998-11:38
202.072.001.077,172.016.112.050,06/17/1998-11:38
172.016.115.005,204.123.002.066,06/17/1998-11:38
172.016.115.234,207.025.071.146,06/17/1998-11:38
172.016.112.207,195.073.151.050,06/17/1998-11:38
172.016.112.207,135.013.216.191,06/17/1998-11:38
172.016.112.207,135.008.060.182,06/17/1998-11:38
172.016.112.149,209.185.102.232,06/17/1998-11:38
172.016.116.044,194.223.080.144,06/17/1998-11:38
194.027.251.021,172.016.114.168,06/17/1998-11:38
172.016.114.168,194.027.251.021,06/17/1998-11:38
172.016.114.168,194.007.248.153,06/17/1998-11:38
172.016.116.044,194.223.080.144,06/17/1998-11:38
